type_name,kind,owner,file,line,definition_kind,pub_use
ArtifactFamilyRegistrationV1,struct,aidens-contracts,crates/aidens-contracts/src/schema_catalog.rs,405,local_def,
SchemaFamilyAdmissionV1,enum,aidens-contracts,crates/aidens-contracts/src/schema_catalog.rs,423,local_def,
GeneratedSchemaManifestV1,struct,aidens-contracts,crates/aidens-contracts/src/schema_catalog.rs,497,local_def,
GeneratedSchemaEntryV1,struct,aidens-contracts,crates/aidens-contracts/src/schema_catalog.rs,529,local_def,
GeneratedSchemaDocumentV1,struct,aidens-contracts,crates/aidens-contracts/src/schema_catalog.rs,541,local_def,
SchemaCompatibilityModeV1,enum,aidens-contracts,crates/aidens-contracts/src/schema_catalog.rs,575,local_def,
SchemaChangeClassV1,enum,aidens-contracts,crates/aidens-contracts/src/schema_catalog.rs,595,local_def,
SchemaCompatibilityCheckV1,struct,aidens-contracts,crates/aidens-contracts/src/schema_catalog.rs,603,local_def,
SchemaCompatibilityReportV1,struct,aidens-contracts,crates/aidens-contracts/src/schema_catalog.rs,652,local_def,
SchemaPathCollisionFindingV1,struct,aidens-contracts,crates/aidens-contracts/src/schema_catalog.rs,672,local_def,
MigrationPhaseV1,enum,aidens-contracts,crates/aidens-contracts/src/schema_catalog.rs,741,local_def,
MigrationPlanV1,struct,aidens-contracts,crates/aidens-contracts/src/schema_catalog.rs,749,local_def,
BackfillReportV1,struct,aidens-contracts,crates/aidens-contracts/src/schema_catalog.rs,787,local_def,
ReferenceDomainV1,enum,aidens-contracts,crates/aidens-contracts/src/schema_catalog.rs,827,local_def,
ReferenceCaseV1,struct,aidens-contracts,crates/aidens-contracts/src/schema_catalog.rs,858,local_def,
DifferentialConformanceFindingV1,struct,aidens-contracts,crates/aidens-contracts/src/schema_catalog.rs,935,local_def,
ReferenceInterpreterReportV1,struct,aidens-contracts,crates/aidens-contracts/src/schema_catalog.rs,978,local_def,
GoldenFixtureManifestV1,struct,aidens-contracts,crates/aidens-contracts/src/schema_catalog.rs,1055,local_def,
SemanticExactnessV1,enum,aidens-contracts,crates/aidens-contracts/src/semantic.rs,10,local_def,
SemanticStateV1,struct,aidens-contracts,crates/aidens-contracts/src/semantic.rs,18,local_def,
SemanticContradictionRecordV1,struct,aidens-contracts,crates/aidens-contracts/src/semantic.rs,129,local_def,
ExecutionContaminationRecordV1,struct,aidens-contracts,crates/aidens-contracts/src/semantic.rs,180,local_def,
