type_name,kind,owner,file,line,definition_kind,pub_use
EntityKind,enum,knowledge-runtime,knowledge-runtime/src/entity/registry.rs,11,local_def,
Entity,struct,knowledge-runtime,knowledge-runtime/src/entity/registry.rs,26,local_def,
MatchQuality,enum,knowledge-runtime,knowledge-runtime/src/entity/registry.rs,45,local_def,
ResolveResult,struct,knowledge-runtime,knowledge-runtime/src/entity/registry.rs,59,local_def,
EntityRegistry,struct,knowledge-runtime,knowledge-runtime/src/entity/registry.rs,88,local_def,
SearchEvidenceBundle,struct,knowledge-runtime,knowledge-runtime/src/evidence/support.rs,10,local_def,
EvidenceItem,struct,knowledge-runtime,knowledge-runtime/src/evidence/support.rs,21,local_def,
EvidenceRelevance,enum,knowledge-runtime,knowledge-runtime/src/evidence/support.rs,35,local_def,
AnswerBundle,struct,knowledge-runtime,knowledge-runtime/src/evidence/support.rs,48,local_def,
QueryWarning,enum,knowledge-runtime,knowledge-runtime/src/obs/trace.rs,23,local_def,
RuntimeView,enum,knowledge-runtime,knowledge-runtime/src/obs/trace.rs,54,local_def,
WideningDisclosure,struct,knowledge-runtime,knowledge-runtime/src/obs/trace.rs,64,local_def,
QueryTrace,struct,knowledge-runtime,knowledge-runtime/src/obs/trace.rs,73,local_def,
ProjectionTrace,struct,knowledge-runtime,knowledge-runtime/src/obs/trace.rs,124,local_def,
ProjectionAction,enum,knowledge-runtime,knowledge-runtime/src/obs/trace.rs,157,local_def,
RuntimeQueryProvenanceV1,struct,knowledge-runtime,knowledge-runtime/src/obs/trace.rs,264,local_def,
RebuildOutcome,struct,knowledge-runtime,knowledge-runtime/src/projection/rebuild.rs,65,local_def,
ProjectionHealth,enum,knowledge-runtime,knowledge-runtime/src/projection/lifecycle.rs,9,local_def,
StaleCause,enum,knowledge-runtime,knowledge-runtime/src/projection/lifecycle.rs,34,local_def,
ProjectionVersion,struct,knowledge-runtime,knowledge-runtime/src/projection/lifecycle.rs,61,local_def,
ProjectionMeta,struct,knowledge-runtime,knowledge-runtime/src/projection/lifecycle.rs,72,local_def,
InvalidationEvent,struct,knowledge-runtime,knowledge-runtime/src/projection/lifecycle.rs,102,local_def,
ProjectionActionResult,struct,knowledge-runtime,knowledge-runtime/src/projection/lifecycle.rs,113,local_def,
ProjectionTracker,struct,knowledge-runtime,knowledge-runtime/src/projection/lifecycle.rs,142,local_def,
QueryMode,enum,knowledge-runtime,knowledge-runtime/src/query/classify.rs,14,local_def,
ClassifyResult,struct,knowledge-runtime,knowledge-runtime/src/query/classify.rs,48,local_def,
MergePolicy,struct,knowledge-runtime,knowledge-runtime/src/query/merge.rs,18,local_def,
ScoreNormalization,enum,knowledge-runtime,knowledge-runtime/src/query/merge.rs,42,local_def,
LegResult,struct,knowledge-runtime,knowledge-runtime/src/query/merge.rs,52,local_def,
MergedResults,struct,knowledge-runtime,knowledge-runtime/src/query/merge.rs,61,local_def,
MergedItem,struct,knowledge-runtime,knowledge-runtime/src/query/merge.rs,72,local_def,
RoutePlan,struct,knowledge-runtime,knowledge-runtime/src/query/route.rs,12,local_def,
RouteLeg,struct,knowledge-runtime,knowledge-runtime/src/query/route.rs,23,local_def,
RetrievalStrategy,enum,knowledge-runtime,knowledge-runtime/src/query/route.rs,36,local_def,
LegFilter,struct,knowledge-runtime,knowledge-runtime/src/query/route.rs,64,local_def,
TemporalClaim,struct,knowledge-runtime,knowledge-runtime/src/temporal/claims.rs,13,local_def,
TemporalContradictionStatus,enum,knowledge-runtime,knowledge-runtime/src/temporal/claims.rs,69,local_def,
,pub_use,knowledge-runtime,knowledge-runtime/src/runtime/mod.rs,2,pub_use,core::*
